#  step      rmse_trn   rmse_ados_trn         lr
      0      1.11e+00      1.11e+00    1.0e-03
   1000      1.39e-02      1.39e-02    1.0e-03
   2000      1.77e-02      1.77e-02    1.0e-03
   3000      2.11e-02      2.11e-02    1.0e-03
   4000      2.31e-02      2.31e-02    1.0e-03
   5000      2.42e-02      2.42e-02    9.4e-04
   6000      1.80e-02      1.80e-02    9.4e-04
   7000      8.66e-03      8.66e-03    9.4e-04
   8000      1.28e-02      1.28e-02    9.4e-04
   9000      1.72e-02      1.72e-02    9.4e-04
  10000      1.15e-02      1.15e-02    8.9e-04
  11000      7.91e-03      7.91e-03    8.9e-04
  12000      7.55e-03      7.55e-03    8.9e-04
  13000      5.78e-03      5.78e-03    8.9e-04
  14000      6.70e-03      6.70e-03    8.9e-04
  15000      6.68e-03      6.68e-03    8.4e-04
  16000      1.15e-02      1.15e-02    8.4e-04
  17000      6.50e-03      6.50e-03    8.4e-04
  18000      5.82e-03      5.82e-03    8.4e-04
  19000      8.67e-03      8.67e-03    8.4e-04
  20000      7.85e-03      7.85e-03    7.9e-04
  21000      6.07e-03      6.07e-03    7.9e-04
  22000      1.31e-02      1.31e-02    7.9e-04
  23000      1.22e-02      1.22e-02    7.9e-04
  24000      8.07e-03      8.07e-03    7.9e-04
  25000      5.66e-03      5.66e-03    7.5e-04
  26000      8.48e-03      8.48e-03    7.5e-04
  27000      8.23e-03      8.23e-03    7.5e-04
  28000      6.05e-03      6.05e-03    7.5e-04
  29000      1.06e-02      1.06e-02    7.5e-04
  30000      6.69e-03      6.69e-03    7.1e-04
  31000      5.12e-03      5.12e-03    7.1e-04
  32000      4.63e-03      4.63e-03    7.1e-04
  33000      9.64e-03      9.64e-03    7.1e-04
  34000      9.84e-03      9.84e-03    7.1e-04
  35000      7.44e-03      7.44e-03    6.7e-04
  36000      5.33e-03      5.33e-03    6.7e-04
  37000      7.10e-03      7.10e-03    6.7e-04
  38000      6.75e-03      6.75e-03    6.7e-04
  39000      5.36e-03      5.36e-03    6.7e-04
  40000      4.78e-03      4.78e-03    6.3e-04
  41000      7.10e-03      7.10e-03    6.3e-04
  42000      6.26e-03      6.26e-03    6.3e-04
  43000      4.90e-03      4.90e-03    6.3e-04
  44000      5.44e-03      5.44e-03    6.3e-04
  45000      5.42e-03      5.42e-03    6.0e-04
  46000      4.72e-03      4.72e-03    6.0e-04
  47000      5.53e-03      5.53e-03    6.0e-04
  48000      4.98e-03      4.98e-03    6.0e-04
  49000      5.86e-03      5.86e-03    6.0e-04
